File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\2014上半年工作\pFind3.0开发\pConfig界面开发\pConfig\pConfig\obj\Release\Amino_Acid_Edit_Dialog.g.i.cs,127,87,45,2,25,0,15,20,0,0
D:\2014上半年工作\pFind3.0开发\pConfig界面开发\pConfig\pConfig\obj\Release\App.g.cs,70,41,28,0,11,0,18,28,0,0
D:\2014上半年工作\pFind3.0开发\pConfig界面开发\pConfig\pConfig\obj\Release\App.g.i.cs,70,41,28,0,11,0,18,28,0,0
D:\2014上半年工作\pFind3.0开发\pConfig界面开发\pConfig\pConfig\obj\Release\DatabaseView.g.i.cs,75,48,31,1,12,0,15,20,0,0
D:\2014上半年工作\pFind3.0开发\pConfig界面开发\pConfig\pConfig\obj\Release\Database_Add_Dialog.g.cs,124,85,44,2,24,0,15,20,0,0
D:\2014上半年工作\pFind3.0开发\pConfig界面开发\pConfig\pConfig\obj\Release\Database_Add_Dialog.g.i.cs,124,85,44,2,24,0,15,20,0,0
D:\2014上半年工作\pFind3.0开发\pConfig界面开发\pConfig\pConfig\obj\Release\Database_Edit_Dialog.g.cs,124,85,44,2,24,0,15,20,0,0
D:\2014上半年工作\pFind3.0开发\pConfig界面开发\pConfig\pConfig\obj\Release\Database_Edit_Dialog.g.i.cs,124,85,44,2,24,0,15,20,0,0
D:\2014上半年工作\pFind3.0开发\pConfig界面开发\pConfig\pConfig\obj\Release\Element_Add_Dialog.g.cs,125,85,44,2,25,0,15,20,0,0
D:\2014上半年工作\pFind3.0开发\pConfig界面开发\pConfig\pConfig\obj\Release\Element_Add_Dialog.g.i.cs,125,85,44,2,25,0,15,20,0,0
D:\2014上半年工作\pFind3.0开发\pConfig界面开发\pConfig\pConfig\obj\Release\Element_Edit_Dialog.g.cs,125,85,44,2,25,0,15,20,0,0
D:\2014上半年工作\pFind3.0开发\pConfig界面开发\pConfig\pConfig\obj\Release\Element_Edit_Dialog.g.i.cs,125,85,44,2,25,0,15,20,0,0
D:\2014上半年工作\pFind3.0开发\pConfig界面开发\pConfig\pConfig\obj\Release\Enzymes_Add_Dialog.g.cs,130,89,46,2,26,0,15,20,0,0
D:\2014上半年工作\pFind3.0开发\pConfig界面开发\pConfig\pConfig\obj\Release\Enzymes_Add_Dialog.g.i.cs,130,89,46,2,26,0,15,20,0,0
D:\2014上半年工作\pFind3.0开发\pConfig界面开发\pConfig\pConfig\obj\Release\Enzymes_Edit_Dialog.g.cs,130,89,46,2,26,0,15,20,0,0
D:\2014上半年工作\pFind3.0开发\pConfig界面开发\pConfig\pConfig\obj\Release\Enzymes_Edit_Dialog.g.i.cs,130,89,46,2,26,0,15,20,0,0
D:\2014上半年工作\pFind3.0开发\pConfig界面开发\pConfig\pConfig\obj\Release\GeneratedInternalTypeHelper.g.i.cs,63,27,13,3,10,1,26,44,0,1
D:\2014上半年工作\pFind3.0开发\pConfig界面开发\pConfig\pConfig\obj\Release\MainWindow.g.cs,381,271,104,2,95,0,15,20,0,0
D:\2014上半年工作\pFind3.0开发\pConfig界面开发\pConfig\pConfig\obj\Release\MainWindow.g.i.cs,381,271,104,2,95,0,15,20,0,0
D:\2014上半年工作\pFind3.0开发\pConfig界面开发\pConfig\pConfig\obj\Release\Modification_Add_Dialog.g.cs,171,119,57,2,37,0,15,20,0,0
D:\2014上半年工作\pFind3.0开发\pConfig界面开发\pConfig\pConfig\obj\Release\Modification_Add_Dialog.g.i.cs,171,119,57,2,37,0,15,20,0,0
D:\2014上半年工作\pFind3.0开发\pConfig界面开发\pConfig\pConfig\obj\Release\Modification_Edit_Dialog.g.cs,171,119,57,2,37,0,15,20,0,0
