3.299	1000000.000
0.868	1000000.000
0.868	1000000.000
2.245	非数字
2.245	非数字
0.624	非数字
0.624	非数字
12.690	112.808
12.690	112.808
-2.895	非数字
-2.895	非数字
-2.846	1000000.000
-2.846	1000000.000
-11.491	非数字
-11.491	非数字
8.861	19.705
8.861	19.705
-3.030	-85.806
-3.030	-85.806
7.080	23.022
7.080	23.022
1.530	非数字
1.530	非数字
-5.286	非数字
-5.286	非数字
1.871	15.497
1.871	15.497
0.244	1000000.000
0.244	1000000.000
42.551	46.285
42.551	46.285
1.926	非数字
1.926	非数字
3.164	-33.338
3.164	-33.338
-1.010	-22.782
-1.010	-22.782
-3.492	非数字
-3.492	非数字
1.898	-28.566
1.898	-28.566
3.131	-22.800
3.131	-22.800
17.521	8.585
17.521	8.585
2.045	1000000.000
2.045	1000000.000
-5.003	非数字
-5.003	非数字
1.444	106.626
1.444	106.626
0.390	非数字
0.390	非数字
10.053	1000000.000
10.053	1000000.000
0.355	1000000.000
0.355	1000000.000
-0.637	86.222
-0.637	86.222
1.735	1000000.000
1.735	1000000.000
非数字	1.077
非数字	1.077
1.508	22.493
1.508	22.493
-0.093	非数字
-0.093	非数字
1.899	46.157
1.899	46.157
-14.533	非数字
-14.533	非数字
8.827	1000000.000
8.827	1000000.000
-1.961	18.796
-1.961	18.796
1.681	-23.785
1.681	-23.785
非数字	0.658
非数字	0.658
-3.451	非数字
-3.451	非数字
8.318	-18.287
8.318	-18.287
1.192	45.864
1.192	45.864
6.126	81.043
6.126	81.043
0.561	非数字
0.561	非数字
-3.462	30.465
-3.462	30.465
-12.556	-12.957
-12.556	-12.957
2.863	1000000.000
2.863	1000000.000
1.967	-71.046
1.967	-71.046
2.150	非数字
2.150	非数字
2.558	非数字
2.558	非数字
-1.674	非数字
-1.674	非数字
1.711	非数字
1.711	非数字
4.680	-63.758
4.680	-63.758
0.386	非数字
0.386	非数字
8.523	非数字
8.523	非数字
4.759	1000000.000
4.759	1000000.000
0.324	非数字
0.324	非数字
2.273	-18.125
2.273	-18.125
1.607	39.532
1.607	39.532
2.319	非数字
2.319	非数字
9.969	24.939
9.969	24.939
2.417	非数字
2.417	非数字
-0.212	非数字
-0.212	非数字
-1.863	1000000.000
-1.863	1000000.000
6.975	1000000.000
6.975	1000000.000
2.675	1000000.000
2.675	1000000.000
6.102	非数字
6.102	非数字
0.784	66.384
0.784	66.384
-6.856	30.583
-6.856	30.583
1.378	非数字
1.378	非数字
-1.010	-30.377
-1.010	-30.377
1.438	非数字
1.438	非数字
1.253	1000000.000
1.253	1000000.000
3.587	1000000.000
3.587	1000000.000
0.090	1000000.000
0.090	1000000.000
-1.454	26.020
-1.454	26.020
2.630	67.273
2.630	67.273
1.461	非数字
1.461	非数字
3.234	-12.942
3.234	-12.942
0.841	1000000.000
0.841	1000000.000
-1.607	-40.274
-1.607	-40.274
3.945	1000000.000
3.945	1000000.000
9.440	-23.922
9.440	-23.922
非数字	1000000.000
非数字	1000000.000
1.003	非数字
1.003	非数字
-0.618	非数字
-0.618	非数字
-1.048	41.716
-1.048	41.716
非数字	2.165
非数字	2.165
0.987	非数字
0.987	非数字
4.403	1000000.000
4.403	1000000.000
1.424	26.606
1.424	26.606
-10.593	非数字
-10.593	非数字
2.963	1000000.000
2.963	1000000.000
0.903	69.112
0.903	69.112
3.982	非数字
3.982	非数字
1.570	非数字
1.570	非数字
0.339	86.838
0.339	86.838
0.860	-18.503
0.860	-18.503
0.306	25.734
0.306	25.734
0.651	85.177
0.651	85.177
-0.488	非数字
-0.488	非数字
0.492	非数字
0.492	非数字
3.704	25.188
3.704	25.188
0.658	非数字
0.658	非数字
-2.047	-27.441
-2.047	-27.441
-11.296	非数字
-11.296	非数字
-0.375	1000000.000
-0.375	1000000.000
1.181	-27.272
1.181	-27.272
0.241	-16.970
0.241	-16.970
1.574	1000000.000
1.574	1000000.000
5.159	1000000.000
5.159	1000000.000
非数字	2.298
非数字	2.298
1.517	-21.009
1.517	-21.009
2.208	-14.594
2.208	-14.594
2.051	-33.209
2.051	-33.209
37.626	31.340
37.626	31.340
-6.800	非数字
-6.800	非数字
-2.006	1000000.000
-2.006	1000000.000
4.135	非数字
4.135	非数字
1.317	1000000.000
1.317	1000000.000
0.689	非数字
0.689	非数字
1.195	非数字
1.195	非数字
0.543	1000000.000
0.543	1000000.000
7.509	1000000.000
7.509	1000000.000
9.168	-29.470
9.168	-29.470
0.566	非数字
0.566	非数字
1.436	1000000.000
1.436	1000000.000
-1.206	1000000.000
-1.206	1000000.000
0.544	81.933
0.544	81.933
非数字	1000000.000
非数字	1000000.000
-11.863	非数字
-11.863	非数字
8.277	-179.107
8.277	-179.107
-2.021	非数字
-2.021	非数字
4.620	-21.746
4.620	-21.746
-0.469	非数字
-0.469	非数字
-1.853	1000000.000
-1.853	1000000.000
1.779	非数字
1.779	非数字
-16.411	非数字
-16.411	非数字
0.176	1000000.000
0.176	1000000.000
-0.505	15.365
-0.505	15.365
2.542	1000000.000
2.542	1000000.000
非数字	-4.676
非数字	-4.676
57.733	-28.700
57.733	-28.700
9.379	1000000.000
9.379	1000000.000
5.115	-83.565
5.115	-83.565
4.052	非数字
4.052	非数字
非数字	1.575
非数字	1.575
0.407	1000000.000
0.407	1000000.000
9.217	非数字
9.217	非数字
3.070	38.041
3.070	38.041
-4.826	非数字
-4.826	非数字
6.756	35.291
6.756	35.291
-15.737	1000000.000
-15.737	1000000.000
1.553	15.932
1.553	15.932
1.214	1000000.000
1.214	1000000.000
2.535	-43.526
2.535	-43.526
-8.397	非数字
-8.397	非数字
5.095	16.257
5.095	16.257
10.199	1000000.000
10.199	1000000.000
-1.116	1000000.000
-1.116	1000000.000
2.906	28.456
2.906	28.456
2.037	-87.892
2.037	-87.892
-2.541	18.255
-2.541	18.255
1.503	-48.873
1.503	-48.873
-2.369	非数字
-2.369	非数字
7.756	1000000.000
7.756	1000000.000
2.175	-67.829
2.175	-67.829
1.192	1000000.000
1.192	1000000.000
-6.295	非数字
-6.295	非数字
1.436	非数字
1.436	非数字
52.529	非数字
52.529	非数字
2.059	非数字
2.059	非数字
2.427	非数字
2.427	非数字
